ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,date_stamp
ECREY,ECORA RESOURCES U/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG01JPCWGB0,BBG01JPCWH55,2025-07-17T18:30:51.082Z,2025-11-06
ECRFF,CARTIER RESOURCES INC,otc,us,OTC Link,OS,True,USD,,BBG000BKFK29,BBG001SCSSJ8,2025-07-01T06:59:38.533Z,2025-11-06
ECRO,ECC CAPITAL CORP,otc,us,OTC Link,CS,True,USD,,BBG000BSCFH0,BBG001SBVTD0,2025-09-18T16:23:46.863Z,2025-11-06
ECRYF,EVOLVE CRYPTOCRRECIS UTS,otc,us,OTC Link,UNIT,True,USD,,BBG01T57P6K1,BBG012QWKL51,2025-09-12T05:00:25.389Z,2025-11-06
ECSNF,ECOSYNTHETIX INC ORD,otc,us,OTC Link,OS,True,USD,,BBG0021LCYT8,BBG001V9NVZ1,2025-07-01T07:00:00.566Z,2025-11-06
ECSTF,WISDOMTREE CMDTY COPPER,otc,us,Grey Market,ETF,True,USD,,,,2021-09-28T00:11:59.575Z,2025-11-06
ECTM,ECA MARCELLUS TRUST I,otc,us,OTC Link,UNIT,True,USD,,BBG000QM53N5,BBG001T7V1Z5,2025-04-16T19:58:49.125Z,2025-11-06
ECTXF,ELECTROLUX PROFSSINAL B,otc,us,OTC Link,OS,True,USD,,,,2023-07-19T06:47:06.449Z,2025-11-06
ECVTF,ECONOMIC INVST TR LTD,otc,us,OTC Link,OS,True,USD,,BBG000K0KZ60,BBG001S5YRJ8,2025-07-01T06:58:02.717Z,2025-11-06
ECWDF,EC WORLD REIT,otc,us,OTC Link,OTHER,True,USD,,,,2025-07-01T07:00:58.008Z,2025-11-06
ECXJ,CXJ GROUP CO,otc,us,OTC Link,CS,True,USD,,BBG000MH5N10,BBG001SKD917,2025-03-27T20:15:50.452Z,2025-11-06
ECXXF,FLEETPARTNERS GRP LTD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T07:00:43.1Z,2025-11-06
ECYAF,WISDOMTREE  AGRICULTURE,otc,us,OTC Link,ETF,True,USD,,,,2025-05-01T05:00:44.174Z,2025-11-06
EDCFF,ENEL GENERACION COSTANERA,otc,us,OTC Link,OS,True,USD,,,,2025-04-09T06:44:25.926Z,2025-11-06
EDDRF,EDREAMS ODIGEO SA ORD,otc,us,OTC Link,OS,True,USD,,,,2022-08-17T08:45:16.765Z,2025-11-06
EDDYF,EDISON LITHIUM CORP,otc,us,OTC Link,OS,True,USD,,BBG00G7CR3M0,BBG001YK2M40,2025-07-01T07:00:33.29Z,2025-11-06
EDEMY,EDREAMS ODIGEO SA SP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG00C6PBNZ0,BBG00C6PBPP6,2025-04-08T05:00:57.247Z,2025-11-06
EDESY,ELDERS LTD UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG000K00HG1,BBG001T3YMR4,2025-07-01T06:58:42.611Z,2025-11-06
EDEYF,EDEN INNOVATIONS LTD,otc,us,OTC Link,OS,True,USD,,,,2025-09-04T05:00:55.705Z,2025-11-06
EDGM,"EDGEMODE, INC.",otc,us,OTC Link,CS,True,USD,,BBG00B2NC2S4,BBG00B2NC2T3,2025-05-06T05:00:05.192Z,2025-11-06
EDGTF,EDGEMONT GOLD CORP,otc,us,OTC Link,OS,True,USD,,BBG01THFZ1T1,BBG00RTBDMF5,2025-09-22T11:30:02.507Z,2025-11-06
EDHD,EDD HELMS GROUP INC NEW,otc,us,OTC Link,CS,True,USD,,BBG000H7ZJ14,BBG001SDPTN2,2023-01-19T18:01:05.326Z,2025-11-06
EDINF,EDION CORP,otc,us,OTC Link,OS,True,USD,,,,2023-06-07T08:45:15.573Z,2025-11-06
EDMCQ,EDUCATION MGMT CORP,otc,us,OTC Link,CS,True,USD,,BBG000BC6R68,BBG001S89624,2023-10-11T21:27:54.259Z,2025-11-06
EDNEF,EDEN EMPIRE INC,otc,us,OTC Link,OS,True,USD,,BBG011WG44Q4,BBG00P96R895,2023-10-11T21:28:39.859Z,2025-11-06
EDNMF,EDENRED MALAKOFF ORD,otc,us,OTC Link,OS,True,USD,,,,2022-07-11T18:13:27.222Z,2025-11-06
EDNMY,EDENRED SA UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG004X7YDC0,BBG004X7YF44,2023-10-11T21:28:08.559Z,2025-11-06
EDNSF,EDEN RESEACH PLC ORD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T06:58:51.739Z,2025-11-06
EDPFY,EDP SA S/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG000BB22W0,BBG001S5QRX1,2025-04-08T05:00:57.639Z,2025-11-06
EDRSF,ELDERS LTD ORD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T07:00:19.348Z,2025-11-06
EDRVF,EDP RENOVAIS SA ORD,otc,us,OTC Link,OS,True,USD,,,,2021-09-28T00:12:40.275Z,2025-11-06
EDRVY,EDP RENOVAVEIS UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG001NH3QP6,BBG001TFZPC5,2025-04-08T05:00:57.886Z,2025-11-06
